question,answer,cosine_same_anchor,cosine_wrong_modality_anchor,margin_same_minus_wrong,top1_same_index,top1_combined_domain,top1_combined_index
Is the drum in the video always playing?,yes,-0.013243146240711212,-0.013314866460859776,7.172022014856339e-05,105,same,105
How many instruments are sounding in the video?,two,-0.014501610770821571,-0.014266544952988625,-0.00023506581783294678,455,same,455
Is the guzheng in the video always playing?,yes,-0.012390515767037868,-0.013213767670094967,0.0008232519030570984,105,same,105
Is the flute in the video always playing?,yes,-0.014386050403118134,-0.014461412094533443,7.53616914153099e-05,259,same,259
Is the flute in the video always playing?,no,-0.0141739621758461,-0.01445622555911541,0.00028226338326931,259,same,259
How many instruments are sounding in the video?,two,-0.01276517752557993,-0.012559294700622559,-0.00020588282495737076,455,same,455
How many instruments are sounding in the video?,four,-0.01180051825940609,-0.011777124367654324,-2.3393891751766205e-05,259,same,259
How many instruments are sounding in the video?,two,-0.012329217046499252,-0.011957520619034767,-0.00037169642746448517,259,same,259
How many types of musical instruments sound in the video?,three,-0.010553810745477676,-0.010876712389290333,0.0003229016438126564,259,same,259
How many instruments are sounding in the video?,one,-0.013118330389261246,-0.012901763431727886,-0.00021656695753335953,105,same,105
How many types of musical instruments sound in the video?,two,-0.011555337347090244,-0.01209481991827488,0.0005394825711846352,259,same,259
How many instruments are sounding in the video?,two,-0.007870931178331375,-0.007737879641354084,-0.0001330515369772911,259,same,259
Is the xylophone in the video always playing?,yes,-0.008675472810864449,-0.008947212249040604,0.0002717394381761551,105,same,105
How many instruments are sounding in the video?,two,-0.015535864047706127,-0.015322084538638592,-0.0002137795090675354,455,same,455
Is the drum in the video always playing?,no,-0.01300498191267252,-0.013286875560879707,0.00028189364820718765,259,same,259
How many instruments are sounding in the video?,two,-0.01433282159268856,-0.014074582606554031,-0.0002582389861345291,259,same,259
Is the tuba in the video always playing?,yes,-0.005403777584433556,-0.005505445878952742,0.00010166829451918602,259,same,259
How many instruments are sounding in the video?,one,-0.014102155342698097,-0.013939627446234226,-0.000162527896463871,259,same,259
Is the guzheng in the video always playing?,yes,-0.008496425114572048,-0.009266168810427189,0.0007697436958551407,105,same,105
How many types of musical instruments sound in the video?,two,-0.01603877730667591,-0.016550468280911446,0.0005116909742355347,259,same,259
How many instruments are sounding in the video?,two,-0.012556565925478935,-0.012339366599917412,-0.00021719932556152344,455,same,455
How many instruments are sounding in the video?,two,-0.00821792334318161,-0.00805120449513197,-0.00016671884804964066,259,same,259
Is the trumpet in the video always playing?,yes,-0.006317455321550369,-0.006387387402355671,6.993208080530167e-05,455,same,455
How many instruments are sounding in the video?,three,-0.010070355609059334,-0.009804118424654007,-0.00026623718440532684,259,same,259
How many types of musical instruments sound in the video?,two,-0.009578133001923561,-0.010130445472896099,0.000552312470972538,455,same,455
How many types of musical instruments sound in the video?,one,-0.01288363616913557,-0.013567186892032623,0.0006835507228970528,259,same,259
Is there a voiceover?,no,-0.01047058030962944,-0.010735645890235901,0.00026506558060646057,455,same,455
How many instruments are sounding in the video?,three,-0.012042091228067875,-0.011778032407164574,-0.00026405882090330124,259,same,259
How many instruments are sounding in the video?,three,-0.015265550464391708,-0.014990366995334625,-0.00027518346905708313,259,same,259
How many instruments are sounding in the video?,two,-0.01188080757856369,-0.011642199009656906,-0.00023860856890678406,259,same,259
How many types of musical instruments sound in the video?,two,-0.010331405326724052,-0.010864978656172752,0.0005335733294487,455,same,455
How many types of musical instruments sound in the video?,two,-0.012739786878228188,-0.01327274926006794,0.0005329623818397522,259,same,259
How many types of musical instruments sound in the video?,one,-0.007582623511552811,-0.008210750296711922,0.000628126785159111,259,same,259
How many instruments are sounding in the video?,one,-0.01730162650346756,-0.01726079359650612,-4.083290696144104e-05,259,same,259
How many types of musical instruments sound in the video?,three,-0.012340378016233444,-0.012614003382623196,0.00027362536638975143,259,same,259
How many types of musical instruments sound in the video?,one,-0.0147221889346838,-0.01535141933709383,0.0006292304024100304,455,same,455
How many types of musical instruments sound in the video?,one,-0.00916559062898159,-0.009855860844254494,0.0006902702152729034,259,same,259
Is the saxophone in the video always playing?,yes,-0.015779700130224228,-0.01579483039677143,1.5130266547203064e-05,259,same,259
How many instruments are sounding in the video?,one,-0.015903973951935768,-0.015762286260724068,-0.00014168769121170044,259,same,259
How many instruments are sounding in the video?,two,-0.007289051078259945,-0.006967728026211262,-0.00032132305204868317,259,same,259
How many instruments are sounding in the video?,one,-0.01196457538753748,-0.01176959928125143,-0.0001949761062860489,259,same,259
How many instruments are sounding in the video?,three,-0.011472425423562527,-0.011245977133512497,-0.00022644829005002975,455,same,455
How many types of musical instruments sound in the video?,two,-0.009667661972343922,-0.010169995948672295,0.000502333976328373,455,same,455
How many instruments are sounding in the video?,two,-0.013731404207646847,-0.013573965057730675,-0.00015743914991617203,455,same,455
How many types of musical instruments sound in the video?,two,-0.009955180808901787,-0.010522549971938133,0.0005673691630363464,259,same,259
How many instruments are sounding in the video?,two,-0.012246948666870594,-0.01206563226878643,-0.00018131639808416367,455,same,455
How many instruments are sounding in the video?,two,-0.01446385495364666,-0.01412670873105526,-0.00033714622259140015,259,same,259
How many instruments are sounding in the video?,two,-0.009591381996870041,-0.009409905411303043,-0.00018147658556699753,259,same,259
How many types of musical instruments sound in the video?,three,-0.015768036246299744,-0.01593133993446827,0.0001633036881685257,455,wrong,967
How many instruments are sounding in the video?,two,-0.014699500985443592,-0.014353476464748383,-0.0003460245206952095,105,same,105
How many instruments are sounding in the video?,two,-0.011165856383740902,-0.01070372760295868,-0.00046212878078222275,259,same,259
How many sounding erhu in the video？,two,-0.01039762981235981,-0.010571405291557312,0.00017377547919750214,455,same,455
How many instruments are sounding in the video?,three,-0.012599685229361057,-0.01226960588246584,-0.0003300793468952179,259,same,259
How many sounding banjo in the video？,one,-0.008548012934625149,-0.00909373164176941,0.0005457187071442604,259,same,259
How many instruments are sounding in the video?,two,-0.012738940306007862,-0.012504318729043007,-0.0002346215769648552,259,same,259
Is the pipa in the video always playing?,yes,-0.012425062246620655,-0.012489326298236847,6.426405161619186e-05,105,same,105
How many instruments are sounding in the video?,two,-0.016997311264276505,-0.016702616587281227,-0.0002946946769952774,455,same,455
Is the drum in the video always playing?,yes,-0.009157450869679451,-0.009343083947896957,0.0001856330782175064,294,same,294
Is this sound from the instrument in the video?,yes,-0.006641018204391003,-0.006751790642738342,0.00011077243834733963,259,same,259
Is this sound from the instrument in the video?,yes,-0.01069655455648899,-0.010971978306770325,0.0002754237502813339,294,same,294
Is there a voiceover?,yes,-0.010138231329619884,-0.010476142168045044,0.00033791083842515945,259,same,259
How many instruments are sounding in the video?,two,-0.012342985719442368,-0.012169349007308483,-0.00017363671213388443,455,same,455
How many instruments are sounding in the video?,two,-0.010181229561567307,-0.009876018390059471,-0.0003052111715078354,455,same,455
Is this sound from the instrument in the video?,no,-0.01434561237692833,-0.014027572236955166,-0.0003180401399731636,455,same,455
Is the violin in the video always playing?,yes,-0.013785894960165024,-0.014080761931836605,0.00029486697167158127,455,same,455
How many instruments are sounding in the video?,two,-0.007200390100479126,-0.007003515958786011,-0.00019687414169311523,259,same,259
Is this sound from the instrument in the video?,yes,-0.01076451689004898,-0.010729281231760979,-3.5235658288002014e-05,259,same,259
How many instruments are sounding in the video?,two,-0.0062310900539159775,-0.005937029607594013,-0.00029406044632196426,259,same,259
How many instruments are sounding in the video?,two,-0.013143918476998806,-0.012876937165856361,-0.0002669813111424446,455,same,455
Is the piano in the video always playing?,yes,-0.009364690631628036,-0.009651683270931244,0.0002869926393032074,455,same,455
How many instruments are sounding in the video?,two,-0.011303379200398922,-0.011127420701086521,-0.00017595849931240082,455,same,455
How many instruments are sounding in the video?,two,-0.011513805948197842,-0.011263912543654442,-0.0002498934045433998,105,same,105
Is the guzheng in the video always playing?,yes,-0.012923763133585453,-0.013712365180253983,0.0007886020466685295,105,same,105
Is the violin in the video always playing?,yes,-0.011015994474291801,-0.011363375931978226,0.00034738145768642426,259,same,259
Is this sound from the instrument in the video?,yes,-0.016612879931926727,-0.01646471582353115,-0.00014816410839557648,455,same,455
How many types of musical instruments sound in the video?,three,-0.01310582272708416,-0.013398275710642338,0.00029245298355817795,259,same,259
How many instruments are sounding in the video?,three,-0.009811840020120144,-0.009533673524856567,-0.0002781664952635765,455,same,455
Is this sound from the instrument in the video?,yes,-0.015132460743188858,-0.015059294179081917,-7.316656410694122e-05,259,same,259
How many instruments are sounding in the video?,two,-0.01068733911961317,-0.010461264289915562,-0.00022607482969760895,259,same,259
How many instruments are sounding in the video?,two,-0.014367286115884781,-0.014034912921488285,-0.0003323731943964958,259,same,259
How many sounding erhu in the video？,two,-0.010841002687811852,-0.0110606225207448,0.00021961983293294907,455,same,455
How many instruments are sounding in the video?,more than ten,-0.016663091257214546,-0.01706170290708542,0.0003986116498708725,259,same,259
How many sounding xylophone in the video？,one,-0.007299041375517845,-0.007650548592209816,0.0003515072166919708,105,same,105
Is the erhu in the video always playing?,yes,-0.014527913182973862,-0.014784214086830616,0.0002563009038567543,105,same,105
How many types of musical instruments sound in the video?,two,-0.01594579592347145,-0.01643090322613716,0.00048510730266571045,455,same,455
How many sounding violin in the video？,two,-0.010165871120989323,-0.010549367405474186,0.0003834962844848633,455,same,455
How many instruments are sounding in the video?,three,-0.013049223460257053,-0.012791379354894161,-0.00025784410536289215,455,same,455
How many sounding bassoon in the video？,one,-0.0060651423409581184,-0.006381712853908539,0.0003165705129504204,259,same,259
How many types of musical instruments sound in the video?,two,-0.01127542182803154,-0.011839693412184715,0.0005642715841531754,259,same,259
How many types of musical instruments sound in the video?,three,-0.010511275380849838,-0.010838896036148071,0.00032762065529823303,455,same,455
How many instruments are sounding in the video?,two,-0.01744121126830578,-0.0171529408544302,-0.00028827041387557983,259,same,259
How many sounding saxophone in the video？,two,-0.007856983691453934,-0.008195777423679829,0.00033879373222589493,455,same,455
How many sounding violin in the video？,two,-0.015875276178121567,-0.01605343446135521,0.00017815828323364258,455,same,455
How many types of musical instruments sound in the video?,two,-0.015372209250926971,-0.015688691288232803,0.0003164820373058319,259,same,259
Is the bassoon in the video always playing?,yes,-0.005024027545005083,-0.005326968617737293,0.00030294107273221016,259,same,259
How many sounding saxophone in the video？,one,-0.011771989986300468,-0.012189052999019623,0.00041706301271915436,259,same,259
Is the violin in the video always playing?,yes,-0.016581833362579346,-0.01683180406689644,0.0002499707043170929,259,same,259
How many sounding pipa in the video？,one,-0.005969213321805,-0.0060006133280694485,3.1400006264448166e-05,105,same,105
Is the ukulele in the video always playing?,yes,-0.012662285938858986,-0.012836597859859467,0.00017431192100048065,455,same,455
Are there violin and pipa sound?,no,-0.012454142794013023,-0.013246407732367516,0.0007922649383544922,259,same,259
How many types of musical instruments sound in the video?,two,-0.005727963522076607,-0.006252648774534464,0.0005246852524578571,259,same,259
How many sounding tuba in the video？,one,-0.003237919183447957,-0.0037289168685674667,0.0004909976851195097,259,same,259
Is the bagpipe in the video always playing?,yes,-0.013271967880427837,-0.013322810642421246,5.08427619934082e-05,259,same,259
How many types of musical instruments sound in the video?,two,-0.013146776705980301,-0.01363282185047865,0.00048604514449834824,455,same,455
How many sounding ukulele in the video？,one,-0.007398803718388081,-0.007881290279328823,0.0004824865609407425,455,same,455
How many types of musical instruments sound in the video?,two,-0.014062248170375824,-0.014549966901540756,0.00048771873116493225,259,same,259
How many instruments are sounding in the video?,three,-0.013562768697738647,-0.013299540616571903,-0.00026322808116674423,259,same,259
How many types of musical instruments sound in the video?,two,-0.009802771732211113,-0.01021362841129303,0.0004108566790819168,259,same,259
How many instruments are sounding in the video?,two,-0.01515511330217123,-0.014970056712627411,-0.00018505658954381943,455,same,455
How many types of musical instruments sound in the video?,three,-0.01221193466335535,-0.012549858540296555,0.00033792387694120407,455,same,455
Is the saxophone in the video always playing?,no,-0.014627788215875626,-0.014780270867049694,0.00015248265117406845,455,same,455
How many types of musical instruments sound in the video?,two,-0.012213014997541904,-0.012640714645385742,0.00042769964784383774,105,same,105
How many sounding trumpet in the video？,two,-0.004259535577148199,-0.0048432727344334126,0.0005837371572852135,259,same,259
Is the drum in the video always playing?,yes,-0.0067545524798333645,-0.006986913271248341,0.00023236079141497612,168,same,168
How many sounding accordion in the video？,one,-0.003944816067814827,-0.004188760183751583,0.00024394411593675613,413,same,413
How many types of musical instruments sound in the video?,two,-0.013967543840408325,-0.014520286582410336,0.0005527427420020103,455,same,455
How many sounding accordion in the video？,one,-0.006140925921499729,-0.006494508590549231,0.0003535826690495014,259,same,259
How many instruments are sounding in the video?,two,-0.011405669152736664,-0.011133567430078983,-0.0002721017226576805,259,same,259
How many instruments are sounding in the video?,two,-0.010429305024445057,-0.010001393035054207,-0.00042791198939085007,259,same,259
How many instruments are sounding in the video?,two,-0.013307222165167332,-0.012929655611515045,-0.00037756655365228653,455,same,455
How many instruments are sounding in the video?,two,-0.013973330147564411,-0.013686451129615307,-0.0002868790179491043,455,same,455
How many types of musical instruments sound in the video?,two,-0.011912541463971138,-0.012322681024670601,0.0004101395606994629,259,same,259
How many instruments are sounding in the video?,two,-0.009613564237952232,-0.009374266490340233,-0.0002392977476119995,259,same,259
How many instruments are sounding in the video?,two,-0.0061825942248106,-0.005986154079437256,-0.00019644014537334442,259,same,259
How many instruments are sounding in the video?,three,-0.01320176012814045,-0.012938295491039753,-0.00026346463710069656,259,same,259
How many sounding violin in the video？,two,-0.010756545700132847,-0.011291952803730965,0.0005354071035981178,455,same,455
How many types of musical instruments sound in the video?,two,-0.013467426411807537,-0.014005837962031364,0.0005384115502238274,455,same,455
How many sounding flute in the video？,one,-0.011955388821661472,-0.01236296072602272,0.000407571904361248,455,same,455
Which is the musical instrument that sounds at the same time as the violin?,banjo,-0.014713765121996403,-0.01537999976426363,0.0006662346422672272,455,same,455
How many instruments are sounding in the video?,two,-0.0066123357973992825,-0.006388816982507706,-0.00022351881489157677,259,same,259
How many instruments are sounding in the video?,two,-0.010646232403814793,-0.010370917618274689,-0.0002753147855401039,455,same,455
How many types of musical instruments sound in the video?,two,-0.004242884926497936,-0.004679872654378414,0.0004369877278804779,259,same,259
How many instruments are sounding in the video?,two,-0.01667761243879795,-0.016427800059318542,-0.00024981237947940826,259,same,259
What is the second instrument that comes in?,trumpet,-0.009271139279007912,-0.01010388508439064,0.0008327458053827286,259,same,259
How many instruments are sounding in the video?,three,-0.016270920634269714,-0.015861868858337402,-0.000409051775932312,455,same,455
Is there a drum sound?,yes,-0.00926687940955162,-0.009880047291517258,0.0006131678819656372,294,same,294
How many sounding drum in the video？,two,-0.009423276409506798,-0.009888123720884323,0.00046484731137752533,259,same,259
How many instruments are sounding in the video?,two,-0.01079686637967825,-0.010532974265515804,-0.00026389211416244507,455,same,455
How many sounding flute in the video？,three,-0.006636438425630331,-0.0071179368533194065,0.00048149842768907547,259,same,259
How many types of musical instruments sound in the video?,two,-0.011748557910323143,-0.012180161662399769,0.0004316037520766258,259,same,259
How many instruments are sounding in the video?,two,-0.010026764124631882,-0.0097444336861372,-0.0002823304384946823,455,same,455
How many instruments are sounding in the video?,two,-0.012814830988645554,-0.012436607852578163,-0.00037822313606739044,259,same,259
Is the instrument on the middle louder than the instrument on the right?,yes,-0.017771391198039055,-0.018340464681386948,0.0005690734833478928,455,same,455
How many types of musical instruments sound in the video?,two,-0.010241263546049595,-0.010658039711415768,0.0004167761653661728,455,same,455
Is the flute in the video always playing?,no,-0.011409490369260311,-0.011754430830478668,0.0003449404612183571,259,same,259
Is there a bassoon in the entire video?,yes,-0.0023273376282304525,-0.0024471525102853775,0.00011981488205492496,259,same,259
How many instruments are sounding in the video?,two,-0.01377272792160511,-0.013524556532502174,-0.0002481713891029358,455,same,455
How many instruments are sounding in the video?,two,-0.00937749445438385,-0.00906607136130333,-0.00031142309308052063,259,same,259
How many instruments are sounding in the video?,three,-0.012753568589687347,-0.012511832639575005,-0.00024173595011234283,455,same,455
How many instruments are sounding in the video?,two,-0.011629028245806694,-0.0114120002835989,-0.0002170279622077942,259,same,259
How many instruments are sounding in the video?,four,-0.010481355711817741,-0.01039748266339302,-8.387304842472076e-05,455,same,455
Is this sound from the instrument in the video?,yes,-0.010645922273397446,-0.010781941935420036,0.00013601966202259064,455,same,455
Is the bagpipe in the video always playing?,yes,-0.014574544504284859,-0.014651676639914513,7.713213562965393e-05,259,same,259
Is there a banjo sound?,yes,-0.010022012516856194,-0.010452413000166416,0.0004304004833102226,105,same,105
Is there a cello in the entire video?,yes,-0.008588599972426891,-0.00905109103769064,0.00046249106526374817,455,same,455
How many types of musical instruments sound in the video?,two,-0.012019507586956024,-0.012476960197091103,0.00045745261013507843,259,same,259
How many instruments are sounding in the video?,two,-0.012751785106956959,-0.012422485277056694,-0.00032929982990026474,259,same,259
Is the instrument on the left more rhythmic than the instrument on the right?,yes,-0.019616013392806053,-0.020339347422122955,0.0007233340293169022,259,same,259
How many instruments are sounding in the video?,two,-0.011533273383975029,-0.011243349872529507,-0.0002899235114455223,259,same,259
Is the instrument on the right louder than the instrument on the left?,no,-0.017992833629250526,-0.018468355759978294,0.00047552213072776794,455,same,455
How many instruments are sounding in the video?,two,-0.012201182544231415,-0.011928582563996315,-0.0002725999802350998,455,same,455
How many types of musical instruments sound in the video?,one,-0.011156074702739716,-0.011854679323732853,0.0006986046209931374,105,same,105
Is there a voiceover?,no,-0.008981786668300629,-0.009316358715295792,0.00033457204699516296,105,same,105
How many types of musical instruments sound in the video?,one,-0.013736201450228691,-0.014278970658779144,0.0005427692085504532,105,same,105
Is the accordion in the video always playing?,yes,-0.013621543534100056,-0.013708540238440037,8.699670433998108e-05,259,same,259
How many instruments are sounding in the video?,two,-0.014731226488947868,-0.01443486474454403,-0.0002963617444038391,455,same,455
How many instruments are sounding in the video?,one,-0.014023096300661564,-0.013857987709343433,-0.0001651085913181305,259,same,259
How many instruments are sounding in the video?,two,-0.013716822490096092,-0.013399982824921608,-0.00031683966517448425,455,same,455
How many instruments are sounding in the video?,four,-0.014020688831806183,-0.013886576518416405,-0.00013411231338977814,259,same,259
What is the second instrument that comes in?,flute,-0.01700713112950325,-0.01771792396903038,0.0007107928395271301,259,same,259
How many sounding violin in the video？,seven,-0.010317503474652767,-0.01020489726215601,-0.00011260621249675751,105,same,105
Is the pipa more rhythmic than the erhu?,no,-0.014938563108444214,-0.01577829383313656,0.0008397307246923447,259,same,259
How many instruments are sounding in the video?,two,-0.007408716715872288,-0.007051468826830387,-0.00035724788904190063,455,same,455
How many instruments are sounding in the video?,two,-0.00982571393251419,-0.009651378728449345,-0.00017433520406484604,259,same,259
Is there a tuba in the entire video?,yes,-0.0020529627799987793,-0.0019460771000012755,-0.00010688567999750376,259,same,259
How many types of musical instruments sound in the video?,one,-0.009749013930559158,-0.010417631827294827,0.0006686178967356682,455,same,455
How many instruments are sounding in the video?,two,-0.00900622271001339,-0.00878865271806717,-0.0002175699919462204,455,same,455
Is the electric_bass in the video always playing?,yes,-0.008097618818283081,-0.008077157661318779,-2.0461156964302063e-05,455,same,455
Is the piano in the video always playing?,yes,-0.010878035798668861,-0.011111331172287464,0.00023329537361860275,259,same,259
Is the trumpet in the video always playing?,yes,-0.006812423467636108,-0.006835310719907284,2.2887252271175385e-05,259,same,259
How many types of musical instruments sound in the video?,one,-0.014477880671620369,-0.015050427988171577,0.0005725473165512085,259,same,259
How many types of musical instruments sound in the video?,one,-0.006931711919605732,-0.007592354901134968,0.0006606429815292358,105,same,105
How many instruments are sounding in the video?,two,-0.010839438997209072,-0.010603812523186207,-0.0002356264740228653,259,same,259
Is there a flute in the entire video?,yes,-0.009313038550317287,-0.009342913515865803,2.987496554851532e-05,455,same,455
How many instruments are sounding in the video?,two,-0.01229839026927948,-0.01210030261427164,-0.0001980876550078392,455,same,455
How many instruments are sounding in the video?,four,-0.013756773434579372,-0.013746562413871288,-1.0211020708084106e-05,455,same,455
Is there a ukulele in the entire video?,no,-0.012809371575713158,-0.013037041760981083,0.00022767018526792526,259,same,259
How many instruments are sounding in the video?,two,-0.00949886068701744,-0.00928410142660141,-0.00021475926041603088,259,same,259
How many instruments are sounding in the video?,two,-0.015230436809360981,-0.014884989708662033,-0.0003454471006989479,455,same,455
How many sounding flute in the video？,two,-0.004605271853506565,-0.005114929750561714,0.0005096578970551491,455,same,455
How many instruments are sounding in the video?,two,-0.010679878294467926,-0.010477107018232346,-0.00020277127623558044,455,same,455
How many types of musical instruments sound in the video?,two,-0.01241467334330082,-0.012926680967211723,0.0005120076239109039,455,same,455
Are there accordion and clarinet instruments in the video?,yes,-0.013509836047887802,-0.013668915256857872,0.00015907920897006989,259,same,259
How many types of musical instruments sound in the video?,two,-0.007394464686512947,-0.007961628958582878,0.000567164272069931,455,same,455
How many instruments are sounding in the video?,two,-0.013548683375120163,-0.013320587575435638,-0.00022809579968452454,455,same,455
Is there a violin in the entire video?,yes,-0.011197170242667198,-0.011479918844997883,0.00028274860233068466,259,same,259
How many instruments are sounding in the video?,two,-0.014103900641202927,-0.013885213062167168,-0.00021868757903575897,259,same,259
How many sounding accordion in the video？,three,-0.007539025042206049,-0.007834529504179955,0.00029550446197390556,455,same,455
Is the violin in the video always playing?,yes,-0.015133773908019066,-0.015481310896575451,0.00034753698855638504,455,same,455
How many instruments are sounding in the video?,four,-0.015399714931845665,-0.01523989625275135,-0.00015981867909431458,259,same,259
Where is the performance?,indoor,-0.012049163691699505,-0.01287244725972414,0.0008232835680246353,259,same,259
How many instruments are sounding in the video?,two,-0.013490205630660057,-0.013280798681080341,-0.00020940694957971573,455,same,455
Is there a trumpet in the entire video?,no,-0.010559430345892906,-0.010935747064650059,0.00037631671875715256,259,same,259
Where is the performance?,outdoor,-0.011305490508675575,-0.012031571939587593,0.0007260814309120178,105,same,105
Is the piano in the video always playing?,yes,-0.009242577478289604,-0.009530055336654186,0.00028747785836458206,105,same,105
How many types of musical instruments sound in the video?,two,-0.015232795849442482,-0.01581426151096821,0.0005814656615257263,455,same,455
How many sounding piano in the video？,one,-0.011495343409478664,-0.011909622699022293,0.0004142792895436287,455,same,455
How many sounding piano in the video？,one,-0.012332554906606674,-0.012677915394306183,0.00034536048769950867,259,same,259
How many types of musical instruments sound in the video?,two,-0.011401336640119553,-0.012026652693748474,0.0006253160536289215,259,same,259
How many types of musical instruments sound in the video?,three,-0.010424872860312462,-0.0106576569378376,0.00023278407752513885,105,same,105
How many types of musical instruments sound in the video?,two,-0.008043847978115082,-0.008742565289139748,0.0006987173110246658,105,same,105
How many types of musical instruments sound in the video?,two,-0.009100295603275299,-0.009675417095422745,0.0005751214921474457,455,same,455
How many types of musical instruments sound in the video?,two,-0.009964972734451294,-0.010540952906012535,0.0005759801715612411,259,same,259
How many sounding flute in the video？,one,-0.007134631276130676,-0.00757500808686018,0.00044037681072950363,455,same,455
How many types of musical instruments sound in the video?,two,-0.007839747704565525,-0.008317590691149235,0.0004778429865837097,259,same,259
How many types of musical instruments sound in the video?,one,-0.012867437675595284,-0.013467660173773766,0.0006002224981784821,259,same,259
How many types of musical instruments sound in the video?,one,-0.009596284478902817,-0.010229452513158321,0.0006331680342555046,259,same,259
How many types of musical instruments sound in the video?,two,-0.009673377498984337,-0.010309537872672081,0.0006361603736877441,105,same,105
How many types of musical instruments sound in the video?,one,-0.010999654419720173,-0.011684978380799294,0.0006853239610791206,259,same,259
Is the xylophone in the video always playing?,yes,-0.008298615925014019,-0.008707217872142792,0.00040860194712877274,259,same,259
How many types of musical instruments sound in the video?,two,-0.011038797907531261,-0.011531086638569832,0.0004922887310385704,259,same,259
What is the instrument on the right of piano?,cello,-0.012789743952453136,-0.013800881803035736,0.0010111378505825996,455,same,455
How many types of musical instruments sound in the video?,one,-0.01211585570126772,-0.012772934511303902,0.0006570788100361824,455,same,455
Is there a banjo in the entire video?,yes,-0.006004843860864639,-0.006005721166729927,8.773058652877808e-07,259,same,259
How many sounding ukulele in the video？,two,-0.00703828688710928,-0.007263343781232834,0.00022505689412355423,455,same,455
How many types of musical instruments sound in the video?,two,-0.012566335499286652,-0.013077638112008572,0.00051130261272192,105,same,105
Is the suona in the video always playing?,no,-0.016522305086255074,-0.01715787500143051,0.0006355699151754379,455,same,455
How many types of musical instruments sound in the video?,two,-0.01259423978626728,-0.01308431662619114,0.0004900768399238586,455,same,455
Is there a trumpet in the entire video?,yes,-0.003783451858907938,-0.0037287112791091204,-5.4740579798817635e-05,259,same,259
How many types of musical instruments sound in the video?,two,-0.010477488860487938,-0.010979467071592808,0.0005019782111048698,259,same,259
How many types of musical instruments sound in the video?,two,-0.012472940608859062,-0.013039440847933292,0.0005665002390742302,455,same,455
How many sounding drum in the video？,one,-0.009124585427343845,-0.009391091763973236,0.0002665063366293907,455,same,455
How many types of musical instruments sound in the video?,two,-0.007819760590791702,-0.008240888826549053,0.0004211282357573509,259,same,259
Is there a cello in the entire video?,yes,-0.009542558342218399,-0.01003466360270977,0.0004921052604913712,259,same,259
How many types of musical instruments sound in the video?,three,-0.012717405334115028,-0.013103093020617962,0.0003856876865029335,455,same,455
Is there a piano in the entire video?,no,-0.011326726526021957,-0.01169094443321228,0.0003642179071903229,455,same,455
How many sounding clarinet in the video？,one,-0.008982207626104355,-0.009221094660460949,0.00023888703435659409,259,same,259
